f,algorithm_name,seed,best_y,best_y_among_all,worst_y_among_all,algorithm_rank,budget
10_1,DE,550.0,679.0645435577223,-41.402216617449035,1048.833195111959,1.0,10
10_1,ES,550.0,-40.11174274488366,-41.402216617449035,1048.833195111959,0.0,10
10_1,GA,550.0,214.8565281894213,-41.402216617449035,1048.833195111959,0.39593139827977447,10
10_1,PSO,550.0,39.608310531915265,-41.402216617449035,1048.833195111959,0.11239741138555245,10
10_10,DE,550.0,706.8175603198583,39.03619689674148,1843.7119773931404,1.0,10
10_10,ES,550.0,39.03619689674148,39.03619689674148,1843.7119773931404,0.0,10
10_10,GA,550.0,149.33512072686574,39.03619689674148,1843.7119773931404,0.1711841262539657,10
10_10,PSO,550.0,230.25116133718478,39.03619689674148,1843.7119773931404,0.1642657074096227,10
10_100,DE,550.0,310.82979379142466,-25.924487324137154,417.87686019583464,1.0,10
10_100,ES,550.0,-21.287789013965096,-25.924487324137154,417.87686019583464,0.0,10
10_100,GA,550.0,151.4856141895798,-25.924487324137154,417.87686019583464,0.205757010535339,10
10_100,PSO,550.0,9.451189941246923,-25.924487324137154,417.87686019583464,0.056783236567945004,10
10_11,DE,550.0,1338.7918518866272,-21.37438738383375,2352.954381621558,1.0,10
10_11,ES,550.0,-21.37438738383375,-21.37438738383375,2352.954381621558,0.0,10
10_11,GA,550.0,152.99284462752138,-21.37438738383375,2352.954381621558,0.1353760953901631,10
10_11,PSO,550.0,431.57600084822457,-21.37438738383375,2352.954381621558,0.2066069481143734,10
10_12,DE,550.0,566.456317669848,79.14251313613684,806.5420202592147,0.5944359283699704,10
10_12,ES,550.0,79.14251313613684,79.14251313613684,806.5420202592147,0.0,10
10_12,GA,550.0,447.82822660113635,79.14251313613684,806.5420202592147,0.8140002472835813,10
10_12,PSO,550.0,240.87620394407958,79.14251313613684,806.5420202592147,0.2591757187783202,10
10_13,DE,550.0,1173.3095248099016,72.40339386535011,2626.999094632911,0.8067922796614934,10
10_13,ES,550.0,91.17500336843776,72.40339386535011,2626.999094632911,0.0,10
10_13,GA,550.0,704.40025709319,72.40339386535011,2626.999094632911,0.4605952362462652,10
10_13,PSO,550.0,232.34057357186055,72.40339386535011,2626.999094632911,0.04630508327012409,10
10_14,DE,550.0,54.635246839449266,-87.7592353606666,301.8468297111002,0.537181009860062,10
10_14,ES,550.0,-87.7592353606666,-87.7592353606666,301.8468297111002,0.0,10
10_14,GA,550.0,-30.88877327287252,-87.7592353606666,301.8468297111002,0.06078586975272371,10
10_14,PSO,550.0,5.745497734271723,-87.7592353606666,301.8468297111002,0.2839249468867485,10
10_15,DE,550.0,330.41863315198054,48.68088934505674,801.7877723244225,0.9191938617888928,10
10_15,ES,550.0,87.4183116780316,48.68088934505674,801.7877723244225,0.0,10
10_15,GA,550.0,394.5396548092616,48.68088934505674,801.7877723244225,0.626894296026902,10
10_15,PSO,550.0,103.88953218154438,48.68088934505674,801.7877723244225,0.05101273320361409,10
10_16,DE,550.0,429.0402826550313,-14.840347779040158,660.223585124545,0.3188190249378915,10
10_16,ES,550.0,-10.39048153420414,-14.840347779040158,660.223585124545,0.0,10
10_16,GA,550.0,396.00644519249647,-14.840347779040158,660.223585124545,0.7969181455429859,10
10_16,PSO,550.0,188.44436846067316,-14.840347779040158,660.223585124545,0.28708054579047093,10
10_17,DE,550.0,339.47095501654945,-130.80319311455946,339.47095501654945,1.0,10
10_17,ES,550.0,-109.23992824204969,-130.80319311455946,339.47095501654945,0.0,10
10_17,GA,550.0,20.99661306441257,-130.80319311455946,339.47095501654945,0.33834346459899967,10
10_17,PSO,550.0,-57.32254287717599,-130.80319311455946,339.47095501654945,0.0632815432221272,10
10_18,DE,550.0,1372.1264626503714,46.336819192366875,1794.2421225073208,1.0,10
10_18,ES,550.0,50.928663748836144,46.336819192366875,1794.2421225073208,0.0,10
10_18,GA,550.0,181.7381230897853,46.336819192366875,1794.2421225073208,0.23710024275436384,10
10_18,PSO,550.0,406.76515013045685,46.336819192366875,1794.2421225073208,0.19770618772008408,10
10_19,DE,550.0,-462.8460328662212,-980.2142104646468,714.3991265138843,0.6199255140355977,10
10_19,ES,550.0,-977.6013393833359,-980.2142104646468,714.3991265138843,0.0,10
10_19,GA,550.0,-641.4438126104017,-980.2142104646468,714.3991265138843,0.5124302478162213,10
10_19,PSO,550.0,-766.6769879233784,-980.2142104646468,714.3991265138843,0.3932834784023509,10
10_2,DE,550.0,849.9513994571613,77.70972666617202,1970.5629677982618,0.7294933853328361,10
10_2,ES,550.0,77.70972666617202,77.70972666617202,1970.5629677982618,0.0,10
10_2,GA,550.0,675.3070136170717,77.70972666617202,1970.5629677982618,1.0,10
10_2,PSO,550.0,201.08535400590807,77.70972666617202,1970.5629677982618,0.080166261802148,10
10_20,DE,550.0,1179.0424712561385,764.1003503543644,1803.3641271353008,0.5917796727555521,10
10_20,ES,550.0,764.1003503543644,764.1003503543644,1803.3641271353008,0.0,10
10_20,GA,550.0,974.4976009809839,764.1003503543644,1803.3641271353008,0.10718443477983236,10
10_20,PSO,550.0,1005.0323350707986,764.1003503543644,1803.3641271353008,0.1575413644507389,10
10_21,DE,550.0,2097.028454269038,-203.67871667058364,2097.028454269038,1.0,10
10_21,ES,550.0,-203.67871667058364,-203.67871667058364,2097.028454269038,0.0,10
10_21,GA,550.0,-52.07865490191048,-203.67871667058364,2097.028454269038,0.07215777751509514,10
10_21,PSO,550.0,-30.405983116481593,-203.67871667058364,2097.028454269038,0.07476546106792602,10
10_22,DE,550.0,550.4604063525907,14.250526067543436,1648.4914699293577,0.7480482864146019,10
10_22,ES,550.0,28.161084683555167,14.250526067543436,1648.4914699293577,0.0008223592725964468,10
10_22,GA,550.0,256.00911337932683,14.250526067543436,1648.4914699293577,0.559430477691289,10
10_22,PSO,550.0,153.0236438099179,14.250526067543436,1648.4914699293577,0.06456511102007689,10
10_23,DE,550.0,975.6953789921924,110.05593304182247,1556.8885195868536,1.0,10
10_23,ES,550.0,119.61628045788979,110.05593304182247,1556.8885195868536,0.0,10
10_23,GA,550.0,236.638153164138,110.05593304182247,1556.8885195868536,0.20624747831596663,10
10_23,PSO,550.0,148.8015607023287,110.05593304182247,1556.8885195868536,0.05286007809317895,10
10_24,DE,550.0,977.9577362579273,18.534232341236695,1860.9138339708893,0.5724299000713018,10
10_24,ES,550.0,18.534232341236695,18.534232341236695,1860.9138339708893,0.0,10
10_24,GA,550.0,416.0511448953703,18.534232341236695,1860.9138339708893,0.24198135963808953,10
10_24,PSO,550.0,263.4993086294803,18.534232341236695,1860.9138339708893,0.16145917884921324,10
10_25,DE,550.0,352.31689043549096,23.597982351910844,1066.3707582137831,1.0,10
10_25,ES,550.0,25.608221132847422,23.597982351910844,1066.3707582137831,0.0,10
10_25,GA,550.0,268.5847869989675,23.597982351910844,1066.3707582137831,0.44189724503941236,10
10_25,PSO,550.0,81.31519345080352,23.597982351910844,1066.3707582137831,0.19993772922170505,10
10_26,DE,550.0,680.8739087163403,77.08575107379266,1238.9365166879231,0.7520297208767153,10
10_26,ES,550.0,86.2127990519909,77.08575107379266,1238.9365166879231,0.0,10
10_26,GA,550.0,221.41111704661225,77.08575107379266,1238.9365166879231,0.3996940671620068,10
10_26,PSO,550.0,134.2162452691553,77.08575107379266,1238.9365166879231,0.025911880353602278,10
10_27,DE,550.0,578.7092003496903,195.7947147300909,808.8258546891724,1.0,10
10_27,ES,550.0,199.51997254073802,195.7947147300909,808.8258546891724,0.0,10
10_27,GA,550.0,404.6934515724159,195.7947147300909,808.8258546891724,0.27877077864186506,10
10_27,PSO,550.0,222.56696417530566,195.7947147300909,808.8258546891724,0.033744745904783956,10
10_28,DE,550.0,200.43834068686584,-206.3733486633436,250.195135663523,1.0,10
10_28,ES,550.0,-197.68917450587307,-206.3733486633436,250.195135663523,0.007357069093315617,10
10_28,GA,550.0,-138.95100493774999,-206.3733486633436,250.195135663523,0.09324070870503529,10
10_28,PSO,550.0,-178.2489233986469,-206.3733486633436,250.195135663523,0.0638083961156245,10
10_29,DE,550.0,681.8153194849675,253.72864371167782,739.5561559513517,0.7702793028079817,10
10_29,ES,550.0,271.79620776453646,253.72864371167782,739.5561559513517,0.0,10
10_29,GA,550.0,629.0653340309239,253.72864371167782,739.5561559513517,1.0,10
10_29,PSO,550.0,432.6367312195994,253.72864371167782,739.5561559513517,0.2263716544925607,10
10_3,DE,550.0,1802.2424623818536,-481.0260426302415,2143.625172044438,1.0,10
10_3,ES,550.0,-479.7332282435221,-481.0260426302415,2143.625172044438,0.0,10
10_3,GA,550.0,-65.25578314114193,-481.0260426302415,2143.625172044438,0.21622650080501232,10
10_3,PSO,550.0,-449.86906412545204,-481.0260426302415,2143.625172044438,0.007298857758510481,10
10_30,DE,550.0,1032.885716100297,216.383375894636,2543.218843281991,0.8889454094475511,10
10_30,ES,550.0,228.23923722354172,216.383375894636,2543.218843281991,0.0,10
10_30,GA,550.0,695.2224113263646,216.383375894636,2543.218843281991,0.3444742668709576,10
10_30,PSO,550.0,558.1358456759854,216.383375894636,2543.218843281991,0.2406792214125295,10
10_31,DE,550.0,621.1928576433743,-73.67419786358647,1066.8727139575578,1.0,10
10_31,ES,550.0,-73.67419786358647,-73.67419786358647,1066.8727139575578,0.0,10
10_31,GA,550.0,778.1058638184991,-73.67419786358647,1066.8727139575578,0.5569725095421246,10
10_31,PSO,550.0,78.01707346731752,-73.67419786358647,1066.8727139575578,0.13322639963899588,10
10_32,DE,550.0,1350.3832119083354,1027.6942190944596,1934.289887291513,0.5099098960254955,10
10_32,ES,550.0,1031.2875931435624,1027.6942190944596,1934.289887291513,0.0,10
10_32,GA,550.0,1258.3106218736543,1027.6942190944596,1934.289887291513,0.19409864872589333,10
10_32,PSO,550.0,1515.3676574144279,1027.6942190944596,1934.289887291513,0.8177377767724616,10
10_33,DE,550.0,910.2210895029503,373.9063588351396,1135.7121276259734,1.0,10
10_33,ES,550.0,375.3717046103874,373.9063588351396,1135.7121276259734,0.0,10
10_33,GA,550.0,669.1685919963863,373.9063588351396,1135.7121276259734,0.46691883385426386,10
10_33,PSO,550.0,442.57333399984964,373.9063588351396,1135.7121276259734,0.10474001131279057,10
10_34,DE,550.0,841.5094253188952,169.30345630001412,971.4655114217582,1.0,10
10_34,ES,550.0,197.9244558741813,169.30345630001412,971.4655114217582,0.011766380896027287,10
10_34,GA,550.0,456.9431618376566,169.30345630001412,971.4655114217582,0.6383767500370088,10
10_34,PSO,550.0,271.5619815786636,169.30345630001412,971.4655114217582,0.10968101553869362,10
10_35,DE,550.0,-124.89029914545651,-445.6744601425378,1040.6680978363115,0.8206757646521174,10
10_35,ES,550.0,-440.24245426627374,-445.6744601425378,1040.6680978363115,0.0,10
10_35,GA,550.0,-293.4187311660844,-445.6744601425378,1040.6680978363115,0.4138453616210788,10
10_35,PSO,550.0,-381.171716942522,-445.6744601425378,1040.6680978363115,0.029504083233842748,10
10_36,DE,550.0,107.1007392373285,-384.05014223071566,375.1087399192112,1.0,10
10_36,ES,550.0,-384.05014223071566,-384.05014223071566,375.1087399192112,0.0,10
10_36,GA,550.0,-113.14609583565368,-384.05014223071566,375.1087399192112,0.44247281358666013,10
10_36,PSO,550.0,-265.49283736741364,-384.05014223071566,375.1087399192112,0.2596038354687333,10
10_37,DE,550.0,1115.5399430714313,56.970319459790815,1422.5857542530437,0.5964232123451523,10
10_37,ES,550.0,56.970319459790815,56.970319459790815,1422.5857542530437,0.0,10
10_37,GA,550.0,158.49315521927969,56.970319459790815,1422.5857542530437,0.5445871274842122,10
10_37,PSO,550.0,210.31315816128503,56.970319459790815,1422.5857542530437,0.09057655102809521,10
10_38,DE,550.0,496.69414425872486,40.91941502995931,730.6636469564152,1.0,10
10_38,ES,550.0,43.37590878735469,40.91941502995931,730.6636469564152,0.0,10
10_38,GA,550.0,105.40467285658619,40.91941502995931,730.6636469564152,0.13824090280727286,10
10_38,PSO,550.0,239.81091550583787,40.91941502995931,730.6636469564152,0.21152948873147093,10
10_39,DE,550.0,829.7713990479523,9.327049590180277,892.0682244263851,1.0,10
10_39,ES,550.0,9.748547274047418,9.327049590180277,892.0682244263851,0.0,10
10_39,GA,550.0,120.89106609366996,9.327049590180277,892.0682244263851,0.2824946004833557,10
10_39,PSO,550.0,207.0498259709765,9.327049590180277,892.0682244263851,0.4866609965557669,10
10_4,DE,550.0,403.7749854282553,-160.88705504911326,1099.905558259653,0.7885131167491117,10
10_4,ES,550.0,-160.88705504911326,-160.88705504911326,1099.905558259653,0.0,10
10_4,GA,550.0,326.10930006441845,-160.88705504911326,1099.905558259653,0.6918567566429792,10
10_4,PSO,550.0,36.187234368644965,-160.88705504911326,1099.905558259653,0.17564120591077484,10
10_40,DE,550.0,1610.6192166679002,51.4866590110956,2208.340367276718,1.0,10
10_40,ES,550.0,57.46121841497734,51.4866590110956,2208.340367276718,0.0,10
10_40,GA,550.0,413.34677207500704,51.4866590110956,2208.340367276718,0.49981898490348153,10
10_40,PSO,550.0,225.30032402677313,51.4866590110956,2208.340367276718,0.050790716037012504,10
10_41,DE,550.0,475.6261857597107,215.76327400137632,1004.179085634273,0.7185985153176234,10
10_41,ES,550.0,223.48184364264716,215.76327400137632,1004.179085634273,0.000545352841207747,10
10_41,GA,550.0,488.8416800573907,215.76327400137632,1004.179085634273,1.0,10
10_41,PSO,550.0,235.02964341715813,215.76327400137632,1004.179085634273,0.040630263692254504,10
10_42,DE,550.0,261.01600155251197,-400.4633528100197,1281.072408667407,0.7357636727074837,10
10_42,ES,550.0,-396.69299512007126,-400.4633528100197,1281.072408667407,0.0,10
10_42,GA,550.0,430.445225438328,-400.4633528100197,1281.072408667407,0.7286625900160801,10
10_42,PSO,550.0,-25.89887864207836,-400.4633528100197,1281.072408667407,0.185304768955982,10
10_43,DE,550.0,1754.7719542333261,1013.9338469626803,3294.6672490040546,0.28271507282603514,10
10_43,ES,550.0,1021.2311367148543,1013.9338469626803,3294.6672490040546,0.0,10
10_43,GA,550.0,1913.71351723442,1013.9338469626803,3294.6672490040546,0.7603342164595697,10
10_43,PSO,550.0,1247.2837712940075,1013.9338469626803,3294.6672490040546,0.34757779378721365,10
10_44,DE,550.0,895.849236226934,211.8102206320814,1270.965993380718,1.0,10
10_44,ES,550.0,211.8102206320814,211.8102206320814,1270.965993380718,0.0,10
10_44,GA,550.0,344.90492406694636,211.8102206320814,1270.965993380718,0.17443216124587874,10
10_44,PSO,550.0,828.9314989707461,211.8102206320814,1270.965993380718,0.4032936026685895,10
10_45,DE,550.0,721.9600042057898,-36.224556209484476,721.9600042057898,1.0,10
10_45,ES,550.0,-34.85124978815463,-36.224556209484476,721.9600042057898,0.0,10
10_45,GA,550.0,-4.431193041416655,-36.224556209484476,721.9600042057898,0.03344393447011364,10
10_45,PSO,550.0,1.022506244513,-36.224556209484476,721.9600042057898,0.043696142565066196,10
10_46,DE,550.0,737.6827252865116,299.6883985055306,1509.1366041849737,1.0,10
10_46,ES,550.0,304.1008367083276,299.6883985055306,1509.1366041849737,0.0,10
10_46,GA,550.0,412.3978898307097,299.6883985055306,1509.1366041849737,0.1407436395465088,10
10_46,PSO,550.0,368.55902965002537,299.6883985055306,1509.1366041849737,0.07191310525187172,10
10_47,DE,550.0,1305.2043119725718,1021.000964599933,2067.73559917541,0.5079824186783274,10
10_47,ES,550.0,1024.2317984462156,1021.000964599933,2067.73559917541,0.0,10
10_47,GA,550.0,1855.328162587778,1021.000964599933,2067.73559917541,1.0,10
10_47,PSO,550.0,1095.1786767367942,1021.000964599933,2067.73559917541,0.10813037660994584,10
10_48,DE,550.0,353.7702994007574,-95.25548198200187,560.0156381920983,1.0,10
10_48,ES,550.0,-94.81621153227567,-95.25548198200187,560.0156381920983,0.0010246070355982738,10
10_48,GA,550.0,-2.2721232094157386,-95.25548198200187,560.0156381920983,0.0738159846816271,10
10_48,PSO,550.0,-33.372306904312424,-95.25548198200187,560.0156381920983,0.06854294123963857,10
10_49,DE,550.0,38.455017662926366,-326.53614500621205,527.3408093737888,0.8773904296583876,10
10_49,ES,550.0,-326.53614500621205,-326.53614500621205,527.3408093737888,0.0,10
10_49,GA,550.0,-138.70024209668645,-326.53614500621205,527.3408093737888,0.4875653645223931,10
10_49,PSO,550.0,-184.54681334132835,-326.53614500621205,527.3408093737888,0.15430690445995845,10
10_5,DE,550.0,438.1120129962476,-438.1802516112598,3899.4749777776956,0.5013615420584835,10
10_5,ES,550.0,-438.1802516112598,-438.1802516112598,3899.4749777776956,0.0,10
10_5,GA,550.0,720.342256061589,-438.1802516112598,3899.4749777776956,0.33142524176593846,10
10_5,PSO,550.0,612.8125596622455,-438.1802516112598,3899.4749777776956,0.1826270664050051,10
10_50,DE,550.0,413.19737358330906,1.7602428746390504,949.530661714442,0.8031749968799171,10
10_50,ES,550.0,21.970227246430127,1.7602428746390504,949.530661714442,0.0,10
10_50,GA,550.0,866.8812707628024,1.7602428746390504,949.530661714442,0.8337378538792259,10
10_50,PSO,550.0,95.17786458625329,1.7602428746390504,949.530661714442,0.09740068862934442,10
10_51,DE,550.0,404.64789379249544,193.98333113616226,477.17273504804933,1.0,10
10_51,ES,550.0,197.86861499691943,193.98333113616226,477.17273504804933,0.0,10
10_51,GA,550.0,298.2582717615378,193.98333113616226,477.17273504804933,0.5168004319125952,10
10_51,PSO,550.0,255.68639217476255,193.98333113616226,477.17273504804933,0.24916819827317988,10
10_52,DE,550.0,-562.06897061777,-992.86053821533,-428.82427478955947,1.0,10
10_52,ES,550.0,-992.86053821533,-992.86053821533,-428.82427478955947,0.0,10
10_52,GA,550.0,-798.7031731268364,-992.86053821533,-428.82427478955947,0.4209484924182182,10
10_52,PSO,550.0,-938.4136780366182,-992.86053821533,-428.82427478955947,0.08740423791873911,10
10_53,DE,550.0,677.5323260325973,-30.670129758759135,1149.7939003001475,1.0,10
10_53,ES,550.0,-30.670129758759135,-30.670129758759135,1149.7939003001475,0.0,10
10_53,GA,550.0,169.38125448683314,-30.670129758759135,1149.7939003001475,0.2734645513482331,10
10_53,PSO,550.0,200.77218346749072,-30.670129758759135,1149.7939003001475,0.24247866686911945,10
10_54,DE,550.0,56.936463139643024,-191.0588145634407,91.44281302545485,1.0,10
10_54,ES,550.0,-189.55690300018472,-191.0588145634407,91.44281302545485,0.0,10
10_54,GA,550.0,-176.3256187546873,-191.0588145634407,91.44281302545485,0.06101133572741605,10
10_54,PSO,550.0,-149.99308478842664,-191.0588145634407,91.44281302545485,0.12692171964388715,10
10_55,DE,550.0,433.1606648396528,32.58680214946832,2348.940268581374,1.0,10
10_55,ES,550.0,33.418310976830455,32.58680214946832,2348.940268581374,0.0,10
10_55,GA,550.0,196.11508931592994,32.58680214946832,2348.940268581374,0.079087182521473,10
10_55,PSO,550.0,275.2779708484846,32.58680214946832,2348.940268581374,0.33657173145877917,10
10_56,DE,550.0,2817.704541179577,338.4198541025885,2908.963675425064,1.0,10
10_56,ES,550.0,347.824107444845,338.4198541025885,2908.963675425064,0.0,10
10_56,GA,550.0,1168.5144016726354,338.4198541025885,2908.963675425064,0.49775610970626327,10
10_56,PSO,550.0,760.2882744836969,338.4198541025885,2908.963675425064,0.10364407534213396,10
10_57,DE,550.0,1358.6878060235367,-80.51722698077482,1358.6878060235367,1.0,10
10_57,ES,550.0,-68.23929020175106,-80.51722698077482,1358.6878060235367,0.0,10
10_57,GA,550.0,-12.170843849018233,-80.51722698077482,1358.6878060235367,0.12295612684854648,10
10_57,PSO,550.0,295.67342935312143,-80.51722698077482,1358.6878060235367,0.16726480212450812,10
10_58,DE,550.0,943.4415457903981,68.13645015051503,1923.5262173982692,1.0,10
10_58,ES,550.0,68.13645015051503,68.13645015051503,1923.5262173982692,0.0,10
10_58,GA,550.0,247.05333465324992,68.13645015051503,1923.5262173982692,0.17256339403667623,10
10_58,PSO,550.0,131.37651873737266,68.13645015051503,1923.5262173982692,0.034779774486443676,10
10_59,DE,550.0,207.40191751145886,-90.5891730426766,582.4510816833497,0.27727079284249084,10
10_59,ES,550.0,-89.90459842403726,-90.5891730426766,582.4510816833497,0.0,10
10_59,GA,550.0,202.20986315910739,-90.5891730426766,582.4510816833497,1.0,10
10_59,PSO,550.0,-27.23054258100759,-90.5891730426766,582.4510816833497,0.09126952542207828,10
10_6,DE,550.0,326.02124494702247,2.8190533499726467,710.2368398436364,0.25190427736719806,10
10_6,ES,550.0,2.8190533499726467,2.8190533499726467,710.2368398436364,0.0,10
10_6,GA,550.0,278.6029175563943,2.8190533499726467,710.2368398436364,0.5663007706494048,10
10_6,PSO,550.0,247.2416093832385,2.8190533499726467,710.2368398436364,0.4198969769097147,10
10_60,DE,550.0,282.85090699612954,-33.59621507014769,424.01852857913286,1.0,10
10_60,ES,550.0,-26.04155912686283,-33.59621507014769,424.01852857913286,0.0,10
10_60,GA,550.0,2.7288701012803473,-33.59621507014769,424.01852857913286,0.07445162430781571,10
10_60,PSO,550.0,45.50706221532992,-33.59621507014769,424.01852857913286,0.11247828558562811,10
10_61,DE,550.0,219.68573466632728,-37.73488758034341,252.94487797914883,1.0,10
10_61,ES,550.0,-27.262588128854212,-37.73488758034341,252.94487797914883,0.004034759636303866,10
10_61,GA,550.0,50.60446175596749,-37.73488758034341,252.94487797914883,0.2520282767071984,10
10_61,PSO,550.0,-22.907349608072266,-37.73488758034341,252.94487797914883,0.008684161251929685,10
10_62,DE,550.0,64.97476461324084,-332.7286999301585,201.1830300322465,1.0,10
10_62,ES,550.0,-326.2417077450136,-332.7286999301585,201.1830300322465,0.0,10
10_62,GA,550.0,-102.60448214175116,-332.7286999301585,201.1830300322465,0.4274817375434532,10
10_62,PSO,550.0,-289.7256633054035,-332.7286999301585,201.1830300322465,0.06899759913564238,10
10_63,DE,550.0,1641.367026469577,322.59890448013493,1873.6139635776276,1.0,10
10_63,ES,550.0,322.59890448013493,322.59890448013493,1873.6139635776276,0.0,10
10_63,GA,550.0,513.9142140991697,322.59890448013493,1873.6139635776276,0.17457857537595034,10
10_63,PSO,550.0,507.0648990346234,322.59890448013493,1873.6139635776276,0.16462873060766195,10
10_64,DE,550.0,757.0074163842471,-985.0401542874679,1086.507117606856,1.0,10
10_64,ES,550.0,-985.0401542874679,-985.0401542874679,1086.507117606856,0.0,10
10_64,GA,550.0,-655.736042720371,-985.0401542874679,1086.507117606856,0.18994831613071333,10
10_64,PSO,550.0,-891.5614813757006,-985.0401542874679,1086.507117606856,0.048808167895774274,10
10_65,DE,550.0,398.83763966819566,-198.72502818421893,398.83763966819566,1.0,10
10_65,ES,550.0,-192.3045118253063,-198.72502818421893,398.83763966819566,0.003387375983599925,10
10_65,GA,550.0,-157.71238466816402,-198.72502818421893,398.83763966819566,0.16176194985763054,10
10_65,PSO,550.0,-146.99775823622375,-198.72502818421893,398.83763966819566,0.13602584752414593,10
10_66,DE,550.0,2345.812755217345,995.9660431601902,3022.874139112314,1.0,10
10_66,ES,550.0,1003.5728617557963,995.9660431601902,3022.874139112314,0.0,10
10_66,GA,550.0,1210.8450359556934,995.9660431601902,3022.874139112314,0.10355327667997731,10
10_66,PSO,550.0,1076.068442174099,995.9660431601902,3022.874139112314,0.07991333487932989,10
10_67,DE,550.0,66.33554008293316,-294.18233739540307,504.69604943666695,0.8615393288143323,10
10_67,ES,550.0,-289.89473179105323,-294.18233739540307,504.69604943666695,0.0,10
10_67,GA,550.0,-170.03867741438182,-294.18233739540307,504.69604943666695,0.2959843508755711,10
10_67,PSO,550.0,-141.19209005313166,-294.18233739540307,504.69604943666695,0.08896513105462561,10
10_68,DE,550.0,767.1173649834578,143.62113767325565,1337.5300853038702,0.939020620350103,10
10_68,ES,550.0,153.91152431075528,143.62113767325565,1337.5300853038702,0.0,10
10_68,GA,550.0,528.1948041881035,143.62113767325565,1337.5300853038702,0.2674274989941124,10
10_68,PSO,550.0,228.21551967844306,143.62113767325565,1337.5300853038702,0.05771523218023805,10
10_69,DE,550.0,286.97173821566395,-260.649821328615,369.7739004847598,1.0,10
10_69,ES,550.0,-246.38503677545685,-260.649821328615,369.7739004847598,0.0,10
10_69,GA,550.0,-52.81484262749552,-260.649821328615,369.7739004847598,0.4029520365375356,10
10_69,PSO,550.0,-116.02394698652824,-260.649821328615,369.7739004847598,0.21961244820416823,10
10_7,DE,550.0,24.019207107974452,-379.0700081617789,858.7971702733569,0.6128386579800064,10
10_7,ES,550.0,-374.96194270132975,-379.0700081617789,858.7971702733569,0.0008794095909413199,10
10_7,GA,550.0,-327.7997010780726,-379.0700081617789,858.7971702733569,0.03754382787158335,10
10_7,PSO,550.0,-338.59368112531706,-379.0700081617789,858.7971702733569,0.04040607423413406,10
